Date,Amount,Currency,Original amount,Original Currency,Category,Subcategory,Tags,User,Place
2.1.2023,-42.0,ILS,-42.0,ILS,Transport,Public transport,,Anna,
2.1.2023,-35.0,ILS,-35.0,ILS,Subscriptions,,,Anna,
3.1.2023,-72.0,ILS,-72.0,ILS,Health,Pharmacy,,Anna,
3.1.2023,-31.0,ILS,-31.0,ILS,Groceries,,,Anna,
3.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
3.1.2023,-20.0,ILS,-20.0,ILS,Eating out,,,Anna,
3.1.2023,-425.0,ILS,-425.0,ILS,Clothes,Adult,,Anna,
3.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
4.1.2023,-800.0,ILS,-800.0,ILS,Health,Medical services,,Anna,
4.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
4.1.2023,-97.0,ILS,-97.0,ILS,Eating out,Lunch,,Anna,
4.1.2023,-325.0,ILS,-325.0,ILS,Clothes,Adult,,Anna,
4.1.2023,-35.0,ILS,-35.0,ILS,Eating out,Coffee,,Anna,
4.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
4.1.2023,-15.0,ILS,-15.0,ILS,Groceries,,,Anna,
4.1.2023,-8.0,ILS,-8.0,ILS,Groceries,,,Anna,
5.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
5.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
8.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
8.1.2023,-12.0,ILS,-12.0,ILS,Groceries,,,Anna,
8.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
9.1.2023,-4000.0,ILS,-4000.0,ILS,House,Rent,,Anna,
9.1.2023,16176.0,ILS,16176.0,ILS,Salary,Salary,,Anna,
9.1.2023,-53.0,ILS,-53.0,ILS,Groceries,,,Anna,
9.1.2023,-3500.0,ILS,-3500.0,ILS,Savings,,,Anna,
9.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
9.1.2023,-78.0,ILS,-78.0,ILS,Transport,Taxi,,Anna,
11.1.2023,-51.0,ILS,-51.0,ILS,Subscriptions,,,Anna,
11.1.2023,-156.0,ILS,-156.0,ILS,Eating out,Food delivery,,Anna,
12.1.2023,-100.0,ILS,-100.0,ILS,Eating out,Food delivery,,Anna,
13.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
13.1.2023,-100.0,ILS,-100.0,ILS,Charity,,,Anna,
14.1.2023,-43.0,ILS,-43.0,ILS,Appliances,House appliances,,Anna,
14.1.2023,-80.0,ILS,-80.0,ILS,Eating out,Lunch,,Anna,
14.1.2023,-84.0,ILS,-84.0,ILS,Transport,Taxi,,Anna,
15.1.2023,-38.0,ILS,-38.0,ILS,Health,Pharmacy,,Anna,
15.1.2023,-100.0,ILS,-100.0,ILS,Charity,,,Anna,
15.1.2023,-14.0,ILS,-14.0,ILS,Leisure,Books,,Anna,
16.1.2023,-17.9,ILS,-17.9,ILS,Leisure,Videogames,,Anna,
16.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
16.1.2023,-14.0,ILS,-14.0,ILS,Eating out,Coffee,,Anna,
16.1.2023,-73.0,ILS,-73.0,ILS,Transport,Taxi,,Anna,
17.1.2023,-143.0,ILS,-143.0,ILS,Eating out,Food delivery,,Anna,
18.1.2023,-105.0,ILS,-105.0,ILS,Eating out,Food delivery,,Anna,
18.1.2023,-135.0,ILS,-135.0,ILS,Gifts,,,Anna,
21.1.2023,-60.0,ILS,-60.0,ILS,Groceries,,,Anna,
22.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
22.1.2023,-178.0,ILS,-178.0,ILS,Eating out,Food delivery,,Anna,
23.1.2023,-5.5,ILS,-5.5,ILS,Transport,Public transport,,Anna,
23.1.2023,-52.0,ILS,-52.0,ILS,Groceries,,,Anna,
23.1.2023,-364.0,ILS,-364.0,ILS,Travel,Hotel,,Anna,
24.1.2023,-4.0,ILS,-4.0,ILS,Subscriptions,,,Anna,
24.1.2023,-42.0,ILS,-42.0,ILS,Transport,Public transport,,Anna,
24.1.2023,-182.0,ILS,-182.0,ILS,Health,Medical services,,Anna,
24.1.2023,-64.0,ILS,-64.0,ILS,Eating out,Lunch,,Anna,
24.1.2023,-17.0,ILS,-17.0,ILS,Groceries,,,Anna,
24.1.2023,-60.0,ILS,-60.0,ILS,Eating out,Food delivery,,Anna,
25.1.2023,-42.0,ILS,-42.0,ILS,Transport,Public transport,,Anna,
25.1.2023,-32.0,ILS,-32.0,ILS,Other,,,Anna,
26.1.2023,-31.0,ILS,-31.0,ILS,Health,Insurance,,Anna,
26.1.2023,-118.0,ILS,-118.0,ILS,Groceries,,,Anna,
26.1.2023,-137.0,ILS,-137.0,ILS,Eating out,Food delivery,,Anna,
