Date,Category,Subcategory,Expenses,Income
2023-01-02,Transport,Public transport,42.0,0.0
2023-01-02,Subscriptions,Not specified,35.0,0.0
2023-01-03,Health,Pharmacy,72.0,0.0
2023-01-03,Groceries,Not specified,31.0,0.0
2023-01-03,Transport,Public transport,5.5,0.0
2023-01-03,Eating out,Not specified,20.0,0.0
2023-01-03,Clothes,Adult,425.0,0.0
2023-01-03,Transport,Public transport,5.5,0.0
2023-01-04,Health,Medical services,800.0,0.0
2023-01-04,Transport,Public transport,5.5,0.0
2023-01-04,Eating out,Lunch,97.0,0.0
2023-01-04,Clothes,Adult,325.0,0.0
2023-01-04,Eating out,Coffee,35.0,0.0
2023-01-04,Transport,Public transport,5.5,0.0
2023-01-04,Groceries,Not specified,15.0,0.0
2023-01-04,Groceries,Not specified,8.0,0.0
2023-01-05,Transport,Public transport,5.5,0.0
2023-01-05,Transport,Public transport,5.5,0.0
2023-01-08,Transport,Public transport,5.5,0.0
2023-01-08,Groceries,Not specified,12.0,0.0
2023-01-08,Transport,Public transport,5.5,0.0
2023-01-09,House,Rent,4000.0,0.0
2023-01-09,Salary,Salary,0.0,16176.0
2023-01-09,Groceries,Not specified,53.0,0.0
2023-01-09,Savings,Not specified,3500.0,0.0
2023-01-09,Transport,Public transport,5.5,0.0
2023-01-09,Transport,Taxi,78.0,0.0
2023-01-11,Subscriptions,Not specified,51.0,0.0
2023-01-11,Eating out,Food delivery,156.0,0.0
2023-01-12,Eating out,Food delivery,100.0,0.0
2023-01-13,Transport,Public transport,5.5,0.0
2023-01-13,Charity,Not specified,100.0,0.0
2023-01-14,Appliances,House appliances,43.0,0.0
2023-01-14,Eating out,Lunch,80.0,0.0
2023-01-14,Transport,Taxi,84.0,0.0
2023-01-15,Health,Pharmacy,38.0,0.0
2023-01-15,Charity,Not specified,100.0,0.0
2023-01-15,Leisure,Books,14.0,0.0
2023-01-16,Leisure,Videogames,17.9,0.0
2023-01-16,Transport,Public transport,5.5,0.0
2023-01-16,Eating out,Coffee,14.0,0.0
2023-01-16,Transport,Taxi,73.0,0.0
2023-01-17,Eating out,Food delivery,143.0,0.0
2023-01-18,Eating out,Food delivery,105.0,0.0
2023-01-18,Gifts,Not specified,135.0,0.0
2023-01-21,Groceries,Not specified,60.0,0.0
2023-01-22,Transport,Public transport,5.5,0.0
2023-01-22,Eating out,Food delivery,178.0,0.0
2023-01-23,Transport,Public transport,5.5,0.0
2023-01-23,Groceries,Not specified,52.0,0.0
2023-01-23,Travel,Hotel,364.0,0.0
2023-01-24,Subscriptions,Not specified,4.0,0.0
2023-01-24,Transport,Public transport,42.0,0.0
2023-01-24,Health,Medical services,182.0,0.0
2023-01-24,Eating out,Lunch,64.0,0.0
2023-01-24,Groceries,Not specified,17.0,0.0
2023-01-24,Eating out,Food delivery,60.0,0.0
2023-01-25,Transport,Public transport,42.0,0.0
2023-01-25,Other,Not specified,32.0,0.0
2023-01-26,Health,Insurance,31.0,0.0
2023-01-26,Groceries,Not specified,118.0,0.0
2023-01-26,Eating out,Food delivery,137.0,0.0
2023-01-27,Leisure,Videogames,319.0,0.0
2023-01-29,Health,Pharmacy,36.0,0.0
2023-01-29,Groceries,Not specified,85.0,0.0
2023-01-30,Transport,Public transport,12.5,0.0
2023-01-30,Eating out,Lunch,135.0,0.0
2023-01-30,Transport,Taxi,40.0,0.0
2023-01-31,Subscriptions,Not specified,32.0,0.0
2023-02-01,Eating out,Food delivery,105.0,0.0
2023-02-01,Subscriptions,Not specified,34.0,0.0
2023-02-02,Eating out,Food delivery,257.0,0.0
2023-02-03,Transport,Public transport,5.5,0.0
2023-02-03,Leisure,Museums,100.0,0.0
2023-02-03,Transport,Public transport,5.5,0.0
